sample	state_baseline	label_baseline	state_sensitivity	label_sensitivity	exact_state_label_match
LV3003047141	2	IG-D	5	IG-C	FALSE
LV3003047142	1	G-A	4	IG-A	FALSE
LV3003047143	1	G-A	4	IG-A	FALSE
LV3003047144	1	G-A	4	IG-A	FALSE
LV3003047145	3	IG-A	4	IG-A	FALSE
LV3003047146	1	G-A	4	IG-A	FALSE
LV3003047147	1	G-A	4	IG-A	FALSE
LV3003047148	1	G-A	4	IG-A	FALSE
LV3003047149	1	G-A	4	IG-A	FALSE
LV3003047150	1	G-A	4	IG-A	FALSE
LV3003047152	1	G-A	4	IG-A	FALSE
LV3003047153	1	G-A	4	IG-A	FALSE
LV3003047154	1	G-A	4	IG-A	FALSE
LV3003047155	1	G-A	4	IG-A	FALSE
LV3003047156	1	G-A	4	IG-A	FALSE
LV3003047158	1	G-A	4	IG-A	FALSE
LV3003047159	1	G-A	3	IG-B	FALSE
LV3003047160	2	IG-D	5	IG-C	FALSE
LV3003047161	2	IG-D	5	IG-C	FALSE
LV3003047162	2	IG-D	5	IG-C	FALSE
LV3003047164	1	G-A	4	IG-A	FALSE
LV3003047166	1	G-A	4	IG-A	FALSE
LV3003047167	1	G-A	4	IG-A	FALSE
LV3003047168	1	G-A	4	IG-A	FALSE
LV3003047169	1	G-A	4	IG-A	FALSE
LV3003061473	2	IG-D	5	IG-C	FALSE
LV3003061474	4	IG-B	3	IG-B	FALSE
LV3003061475	1	G-A	4	IG-A	FALSE
LV3003061476	1	G-A	4	IG-A	FALSE
LV3003061477	3	IG-A	2	G-A	FALSE
LV3003061485	4	IG-B	1	IG-D	FALSE
LV3003061486	2	IG-D	5	IG-C	FALSE
LV3003061488	1	G-A	4	IG-A	FALSE
LV3003061489	2	IG-D	3	IG-B	FALSE
LV3003061492	3	IG-A	2	G-A	FALSE
LV3003061500	2	IG-D	4	IG-A	FALSE
LV3003061501	4	IG-B	3	IG-B	FALSE
LV3003061503	4	IG-B	1	IG-D	FALSE
LV3003061504	1	G-A	4	IG-A	FALSE
LV3003061505	1	G-A	4	IG-A	FALSE
LV3003061506	3	IG-A	4	IG-A	FALSE
LV3003061513	2	IG-D	4	IG-A	FALSE
LV3003061514	4	IG-B	1	IG-D	FALSE
LV3003061515	4	IG-B	1	IG-D	FALSE
LV3003061516	1	G-A	4	IG-A	FALSE
LV3003061517	4	IG-B	3	IG-B	FALSE
LV3003061518	3	IG-A	2	G-A	FALSE
LV3003061527	2	IG-D	5	IG-C	FALSE
LV3003061528	4	IG-B	1	IG-D	FALSE
LV3003061529	4	IG-B	1	IG-D	FALSE
LV3003061530	1	G-A	4	IG-A	FALSE
LV3003061531	1	G-A	4	IG-A	FALSE
LV3003061533	3	IG-A	4	IG-A	FALSE
LV3003061539	2	IG-D	4	IG-A	FALSE
LV3003061541	4	IG-B	3	IG-B	FALSE
LV3003061543	4	IG-B	3	IG-B	FALSE
LV3003061544	1	G-A	4	IG-A	FALSE
LV3003061545	1	G-A	4	IG-A	FALSE
LV3003061546	3	IG-A	5	IG-C	FALSE
LV3003061555	2	IG-D	5	IG-C	FALSE
LV3003061556	4	IG-B	3	IG-B	FALSE
LV3003061557	4	IG-B	3	IG-B	FALSE
LV3003061558	1	G-A	4	IG-A	FALSE
LV3003061559	1	G-A	4	IG-A	FALSE
LV3003061568	2	IG-D	5	IG-C	FALSE
LV3003061569	4	IG-B	3	IG-B	FALSE
LV3003061570	4	IG-B	3	IG-B	FALSE
LV3003061571	1	G-A	4	IG-A	FALSE
LV3003061572	3	IG-A	2	G-A	FALSE
LV7001898064	3	IG-A	4	IG-A	FALSE
LV7001898076	3	IG-A	2	G-A	FALSE
LV7001898088	3	IG-A	1	IG-D	FALSE
LV7001898100	5	IG-C	1	IG-D	FALSE
LV7008886221	1	G-A	4	IG-A	FALSE
LV7008886222	1	G-A	4	IG-A	FALSE
LV7008886226	1	G-A	4	IG-A	FALSE
LV7008886228	2	IG-D	5	IG-C	FALSE
LV7008886229	4	IG-B	1	IG-D	FALSE
LV7008886690	3	IG-A	5	IG-C	FALSE
LV7008886692	1	G-A	4	IG-A	FALSE
LV7008886695	4	IG-B	3	IG-B	FALSE
LV7008886702	3	IG-A	4	IG-A	FALSE
LV7008886703	1	G-A	4	IG-A	FALSE
LV7008886704	1	G-A	4	IG-A	FALSE
LV7008886705	2	IG-D	5	IG-C	FALSE
LV7008886706	4	IG-B	1	IG-D	FALSE
LV7008886707	4	IG-B	3	IG-B	FALSE
LV7008886708	4	IG-B	3	IG-B	FALSE
LV7008886709	1	G-A	4	IG-A	FALSE
LV7008886714	5	IG-C	1	IG-D	FALSE
LV7008886715	1	G-A	4	IG-A	FALSE
LV7008886717	2	IG-D	3	IG-B	FALSE
LV7008886718	4	IG-B	3	IG-B	FALSE
LV7008886719	2	IG-D	3	IG-B	FALSE
LV7008886720	4	IG-B	3	IG-B	FALSE
LV7008886721	1	G-A	4	IG-A	FALSE
LV7008886726	5	IG-C	1	IG-D	FALSE
LV7008886727	3	IG-A	2	G-A	FALSE
LV7008886728	1	G-A	4	IG-A	FALSE
LV7008886730	4	IG-B	1	IG-D	FALSE
LV7008886731	2	IG-D	3	IG-B	FALSE
LV7008886739	3	IG-A	2	G-A	FALSE
LV7008886740	1	G-A	4	IG-A	FALSE
LV7008886741	2	IG-D	5	IG-C	FALSE
LV7008886742	4	IG-B	1	IG-D	FALSE
LV7008886743	4	IG-B	3	IG-B	FALSE
LV7008886744	2	IG-D	3	IG-B	FALSE
LV7008886745	2	IG-D	5	IG-C	FALSE
LV7008886751	3	IG-A	4	IG-A	FALSE
LV7008886752	1	G-A	4	IG-A	FALSE
LV7008886753	2	IG-D	5	IG-C	FALSE
LV7008886754	4	IG-B	1	IG-D	FALSE
LV7008886755	4	IG-B	3	IG-B	FALSE
LV7008886756	4	IG-B	3	IG-B	FALSE
LV7008886757	2	IG-D	5	IG-C	FALSE
LV7008886763	3	IG-A	4	IG-A	FALSE
LV7008886765	1	G-A	4	IG-A	FALSE
LV7008886766	4	IG-B	1	IG-D	FALSE
LV7008886768	4	IG-B	3	IG-B	FALSE
LV7008886769	2	IG-D	5	IG-C	FALSE
LV7008886776	1	G-A	4	IG-A	FALSE
LV7008886778	4	IG-B	1	IG-D	FALSE
LV7008886780	4	IG-B	3	IG-B	FALSE
LV7008886781	2	IG-D	5	IG-C	FALSE
